dataset,method,dim,n_graphs,fit_time_s,embed_time_s,total_time_s,rss_before_mb,rss_after_mb,peak_tracemalloc_mb
MUTAG,Graph2Vec,64,188,0.211,0.0001,0.2111,347.5,350.2,1.61
MUTAG,Graph2Vec,128,188,0.1772,0.0001,0.1773,350.48,350.89,1.39
MUTAG,Graph2Vec,256,188,0.1774,0.0001,0.1775,354.56,354.86,1.39
ENZYMES,Graph2Vec,64,600,0.9536,0.0003,0.9539,373.12,378.89,9.89
ENZYMES,Graph2Vec,128,600,0.9631,0.0003,0.9635,383.89,378.56,7.7
ENZYMES,Graph2Vec,256,600,1.2432,0.0003,1.2435,388.58,335.61,7.7
IMDB-MULTI,Graph2Vec,64,1500,1.4137,0.0008,1.4144,389.89,399.25,10.71
IMDB-MULTI,Graph2Vec,128,1500,1.5435,0.0008,1.5443,401.61,401.09,8.28
IMDB-MULTI,Graph2Vec,256,1500,1.481,0.0008,1.4818,403.56,403.03,9.38
